№;Страница;Заголовок;Было;Стало;Комментарий;Контекст;Статус
1;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;разразе;разрезе;опечатка;глядеть примерно так:  Классическая дистилляция в разразе кривой равновесия фаз  Т.е. если мы перегоним пол;
2;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;Длинна;Длина;опечатка;:  Флегмовое число (сколько отбирать дистиллята)  Длинна пути пара/высота колонны (количество реальных сту;
3;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;плошадь;площадь;опечатка;тарелок нет, но засыпано что-то, что увеличивает плошадь поверхности, т.е. 'насадка') рассчитать ВЭТТ можн;
4;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;сепераци;сепараци;опечатка (сеперации → сепарации);р-холодильник будет слишком мал, то не произойдет сеперации жидкости от пара, а, следовательно, не произойде;
5;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;различнх;различных;опечатка;значениями:  Примерные значения ВЭТТ для насадок различнх типов  Процесс массообмена между жидкостью (флегм;
6;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;рассчета;расчёта;опечатка;садка') рассчитать ВЭТТ можно по формуле  Формула рассчета ВЭТТ для насадочной колонны  где Н - высота насад;
7;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;деленое;деленное;опечатка;чуть выше мы уже разбирали, что количество флегмы деленое на количество дистиллята - это флегмовое число! Т;
8;https://hrtz.store/page130762176.html;"кипячение воды для чайников-2" или основы ректификации;нагрева, ем;нагреваем;разорванное слово;тые колонны более стабильны при высоких мощностях нагрева, ем аналогичные насадочные.  Диаметр колонны определя;
9;https://hrtz.store/page130762366.html;Пряный грог;меленн;медленн;опечатка (меленный → медленный);ции, фрукты и залить холодной водой. Поставить на меленный огонь и довести до кипения под крышкой. Как тол;
10;https://hrtz.store/page130762366.html;Пряный грог;подстаст;подсласт;опечатка (подстастить → подсластить);4. Разлить по кружкам напиток, по необходимости - подстастить еще медом и украсить апельсином.  5. Выйти на;
11;https://hrtz.store/page130762476.html;Глюбир;стрючка;стручка;опечатка;г свежего апельсина тонкими слайсами  - половина стрючка ванили или 1 г ванилина  1. Заливаем пиво в толст;
12;https://hrtz.store/page130762516.html;Глинтвейн;появлятеся;появляется;опечатка;лотые специи - от них остается 'песок' на зубах и появлятеся легкое отвращение к напитку.  7. Лайфхак: варите;
13;https://hrtz.store/page130762566.html;Поговорим о ферментах;забложден;заблужден;опечатка;оторая окружена не меньшим количеством домыслов и заблождений, чем медь в перегонке - ферменты.  Попробуем ра;
14;https://hrtz.store/page130762566.html;Поговорим о ферментах;саара;сахара;опечатка;пектина в яблочной мезге.  Общий принцип инверсии саара ферментами.  Такое соответствие 'фермент-субстрат;
15;https://hrtz.store/page130762566.html;Поговорим о ферментах;сахараза;сахароза;опечатка;ически любом давлении. Упомянутая выше на рисунке сахараза может работать только в диапазоне 30-80 градусов;
16;https://hrtz.store/page130762566.html;Поговорим о ферментах;сахаразой;сахарозой;опечатка;тализатора, если попытаться сравнить его с той же сахаразой, будет тысячекратно ниже. Жертвуя условиями, мы в;
17;https://hrtz.store/page130762566.html;Поговорим о ферментах;куачество;качество;опечатка;масштабированием, когда важно нивелировать разное куачество сырья или сэкономить.  Когда мы говорим о фермент;
18;https://hrtz.store/page130762566.html;Поговорим о ферментах;Умеяя;Умея;опечатка;машнего пивоварения до промышленного спиртзавода. Умеяя управлять ферментами, мы, фактически, умеем управ;
19;https://hrtz.store/page130762666.html;Медовуха;Рехидриров;Регидриров;опечатка;Внести пектиназу и половину питательных веществ.  Рехидрировать дрожжи в теплой воде (32-35°C) с Go-Ferm или а;
20;https://hrtz.store/page130763006.html;наелся сахара и ходит-бродит;неило;нехило;опечатка;. Но даже чтобы такие проценты получить вам нужно неило так постараться - это на самом деле сложно.  Так;
21;https://hrtz.store/page131035786.html;наелся сахара и ходит-бродит ч.1;треалоза;трегалоза;опечатка;мпенсируют, синтезируя осмопротектанты (глицерин, треалоза), это отбирает углерод и восстановительные эквива;
22;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;соотвественно;соответственно;опечатка;разрушения из гликозидной формы они не выходят и, соотвественно, не дают такого яркого аромата.  Вторая группа ве;
23;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;получем;получаем;опечатка;.  Итого, при использовании свежих компонентов мы получем следующее: более ароматный профиль в верхней част;
24;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;которм;котором;опечатка;мацерации, всегда стоит вопрос крепости спирта, в которм мы будем настаивать сырье для получения мацерата.;
25;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;потомубудут;потому будут;слипшиеся слова;створимы и в воде, и в спирте (в разной степени), потомубудут экстрагироваться в любом случае. Также фенолы лег;
26;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;спиртуазностью;спиртуозностью;опечатка;ованием свежих и сухих ингредиентов и продуманной спиртуазностью, а также разделением смесей на отдельные компонен;
27;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;испльзовании;использовании;опечатка;бавлять уникальных вкусов в напиток.  Однако, при испльзовании сахара возникает несколько важных проблем. Во-пер;
28;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;температурахпозволяет;температурах позволяет;слипшиеся слова;ус и аромат.  Концентрирование сиропа при высоких температурахпозволяет образовать фурановые соединения и меланоидины, со;
29;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;икерах;икрах;опечатка;ния и/или тепла.  Сушеные и вяленые компоненты в ликерах дают стабильность вкуса, формы, цвета и ароматиче;
30;https://hrtz.store/page131036476.html;основы создания крутых ликеров, ч.2 - компоненты;астигненции;astringency;можно заменить на «вяжущести»;сть и ответственны за ощущение 'вяжущего вкуса' - астигненции, за счет связывания с белками (в т.ч. в ротовой п;
31;https://hrtz.store/page131040246.html;кип для ч 1;от этих точке перпендикуляры;от этих точек перпендикуляры;грамматика;Y мы их пересечем в точках А и В. Дальше опускаем от этих точке перпендикуляры вниз и получаем концентрацию - в точке А это конц;
32;https://hrtz.store/page131040246.html;кип для ч 1;а честь опустилась;а часть опустилась;опечатка;сколько изменился. Часть примесей вылетела вверх, а честь опустилась вниз. Что это значит?  Если Кр>1, это означает, ч;
33;https://hrtz.store/page131040866.html;амаретто;прелесного;прелестного;опечатка;ный ликер на основе миндаля и трав. Родиной этого прелесного ликера считается итальянский Саронно. Ломбардия в;
34;https://hrtz.store/page131040866.html;амаретто;Добвить;Добавить;опечатка;ь (не в муку!). Отдельно отложить 60-70 г смеси.  Добвить пряности, мед и ядра в спирт (можно в мешке для н;
35;https://hrtz.store/page131040866.html;амаретто;расчитать;рассчитать;опечатка;зависимости от объема дистиллята и его крепости, расчитать требуемое количество воды для получения ликера.;
36;https://hrtz.store/page131040866.html;амаретто;обожженых;обожженных;опечатка;потенциал к выдержке, особенно в белых бочках. В обожженых и хересовых бочках усиливается глубина вкуса и до;
37;https://hrtz.store/page131041216.html;основы создания крутых ликеров, ч.1;икерах;икрах;опечатка;и полный результат в мацератах и дистиллируемых ликерах и позволяет точно подгонять вкус под свои нужны.;
38;https://hrtz.store/page131041216.html;основы создания крутых ликеров, ч.1;объединении в месте;объединении вместе;опечатка;тся из множества нот и тонов, которые при должном объединении в месте создают гармоничный и очаровательный профиль напи;
39;https://hrtz.store/page131041216.html;основы создания крутых ликеров, ч.1;в дальнейшим работать;в дальнейшем работать;грамматика;цы нет. Я буду делить по вкусу, т.к. это помогает в дальнейшим работать с сырьем и опишу такие категории:  - основными ко;
40;https://hrtz.store/page131041216.html;основы создания крутых ликеров, ч.1;подчернуть;подчеркнуть;опечатка;, горечавки, коры хинны и др. В этой группе важно подчернуть горечь другими вкусами и ароматами и как бы 'обер;
41;https://hrtz.store/page131041746.html;вермут бьянко;расчитать;рассчитать;опечатка;индивидуально. Для меньшего количества вина можно расчитать количество пропорционально.  Выдержать в холоде н;
42;https://hrtz.store/page131041946.html;Сттатья: рецепт джина медиум;Сттатья;Статья;опечатка;Сттатья: рецепт джина медиум Я уже писал рецептуру класси;
43;https://hrtz.store/page131042096.html;Апероль;соотвественно;соответственно;опечатка;стой корня куркумы с цветками граната (10 г и 3 г соотвественно на 75 мл 70% спирта, настоять 12 дней в темном ме;
44;https://hrtz.store/page131042096.html;Апероль;Спритс;Spritz;название коктейля;Апероль Апероль Спритс, пожалуй, один из самых популярных коктейлей мира;
45;https://hrtz.store/page131042096.html;Апероль;оранжевогого;оранжевого;опечатка;0,1 г млечного сока ферулы (асафетиды)  Краситель оранжевогого или красного цвета для корректировки  Для пригото;
46;https://hrtz.store/page131042096.html;Апероль;пахнетпримерно;пахнет примерно;слипшиеся слова;на первый взгляд не отличается, т.к. до обработки пахнетпримерно одинаково. В напитке красные и обычные апельсины;
47;https://hrtz.store/page131042096.html;Апероль;млечного;молочного;опечатка;% (или равнозначное количество по АС)  0,05-0,1 г млечного сока ферулы (асафетиды)  Краситель оранжевогого и;
48;https://hrtz.store/page131042746.html;вермут фьеро;плохладном;прохладном;опечатка;сахаром) и горечь (мацератом).  Оставить в темном плохладном месте на 7-10 дней, после чего извлечь цветки и о;
49;https://hrtz.store/page131042746.html;вермут фьеро;требудет;требует;опечатка;ие сахара делает напиток более ярким по вкусу, но требудет тщательного подхода к купажу мацерата и точности;
50;https://hrtz.store/page131043456.html;ускор стар 2;термориформинга;термореформинга;опечатка;оренного старения алкоголя ч.2 - Оборудование для термориформинга  опыты с оборудованием. У вас могут быть другие,;
51;https://hrtz.store/page131043456.html;ускор стар 2;термориформинг;термореформинг;опечатка;оренного старения алкоголя ч.2 - Оборудование для термориформинга  опыты с оборудованием. У вас могут быть другие,;
52;https://hrtz.store/page131043456.html;ускор стар 2;параменртов;параметров;опечатка;ать.  В целом, реакции зависят в основном от трех параменртов:  Контроль температуры, пожалуй, самая важная час;
53;https://hrtz.store/page131043456.html;ускор стар 2;ээффект;эффект;опечатка;пожалуй, самая важная часть. Именно температурные ээффект имеют максимальное влияние на скорость процессов,;
54;https://hrtz.store/page131043456.html;ускор стар 2;обыта;опыта;опечатка;-то нагретым и горючим под давлением без должного обыта и образования еще и в домашних условиях - верный;
55;https://hrtz.store/page131043456.html;ускор стар 2;окнцентрацией;концентрацией;опечатка;дин неочевидный для большинства способ управления окнцентрацией - перемешивание. Именно перемешивание является см;
56;https://hrtz.store/page131043456.html;ускор стар 2;уностить;уносить;опечатка;м способом массопереноса в системе, что позволяет уностить продукты реакции из зоны этой самой реакции и сме;
57;https://hrtz.store/page131043456.html;ускор стар 2;иным иметодами;иными методами;опечатка;). Контролировать его можно игольчатым краном или иным иметодами, а на конец поставить распылитель (вроде аквариум;
58;https://hrtz.store/page131043456.html;ускор стар 2;перве эксперименты;первые эксперименты;опечатка;ма до нельзя простая и понятная. Более того, свои перве эксперименты я делал именно в такой конструкции - это самый уд;
59;https://hrtz.store/page131043456.html;ускор стар 2;обхемов;объёмов;опечатка;обный способ сделать немного и понятно. Для малых обхемов эта схема вполне себе годная.  Я рассмотрел схему;
60;https://hrtz.store/page131043456.html;ускор стар 2;низкотемпретурный;низкотемпературный;опечатка;ожно врезать, а можно и просто опустить сверху  - низкотемпретурный=маломощный. Греть дистиллят выше 80 сомнительная;
61;https://hrtz.store/page131043456.html;ускор стар 2;элемнетом;элементом;опечатка;я самый простой.  - можно объединить со следующим элемнетом, я разделил для понимания  - по сути ,может быть;
62;https://hrtz.store/page131043456.html;ускор стар 2;перегевов;перегревов;опечатка;ем сверху.  - обязательный элемент, чтобы не было перегевов и процесс шел равномерно.  В целом - все. Это баз;
63;https://hrtz.store/page131043456.html;ускор стар 2;капиляров;капилляров;опечатка;иант. Но самым оптимальным является использование капиляров и очень тонкой подачи в течении всего процесса. Т;
64;https://hrtz.store/page131043456.html;ускор стар 2;разружаясь;разрушаясь;опечатка;ь перекись водорода - ее добавляют в дистиллят и, разружаясь, она как раз образует кучу реактивных радикалов,;
65;https://hrtz.store/page131043456.html;ускор стар 2;насыщться;насыщаться;опечатка;ое подобие 'водопада' или орошения, система будет насыщться кислородом дополнительно.  Помните про фальшдно и;
66;https://hrtz.store/page131043456.html;ускор стар 2;имспортить;испортить;опечатка;ся щепки могут привести к ее обугиванию и начисто имспортить вкус напитка.  Ну и помните про качество самого д;
67;https://hrtz.store/page131044056.html;Статьтя: абсент;Статьтя;Статья;опечатка;Статьтя: абсент Зеленая фея... абсент штука мощная. Хотя;
68;https://hrtz.store/page131044056.html;Статьтя: абсент;кромецвета;кроме цвета;слипшиеся слова;ные ноты напитку при перегонке. А вот в мацерате, кромецвета, они придадут очаровательные нотки.  Этот абсент;
69;https://hrtz.store/page131044406.html;ускор стар 1;термориформинг;термореформинг;опечатка;ффтоп: методы ускоренного старения алкоголя ч.1 - термориформинг  Я - профессиональный химик и за свою практику пр;
70;https://hrtz.store/page131045576.html;старение в бочке;коричнывый;коричневый;опечатка;долго выдержанный напиток будет иметь насыщенный коричнывый цвет и своеобразный аромат. Но чтобы его получить;
71;https://hrtz.store/page131045576.html;старение в бочке;Ускусная;Уксусная;опечатка;бразуется из метанола (а тот - наследие дрожжей)  Ускусная - как уже упоминалось, из ацетальдегида при окисл;
72;https://hrtz.store/page131045576.html;старение в бочке;сереневая;сиреневая;опечатка;оты получаются при гидролизе танинов  Сиринговая, сереневая, ванилиновая, коричная и пр - при гидролизе лигни;
73;https://hrtz.store/product/111194909072-kompleks-dlya-udaleniya-izbitochnih-tani;Комплекс для удаления избыточных танинов Clarifix CL-13;сорбирует;адсорбирует;термин — по желанию;ора. Благодаря усиленной формуле комплекс быстрее сорбирует нежелательные вещества, ускоряет флокуляцию и сед;
